"t_index","date"
1247,"2024-09-06"
1248,"2024-09-13"
1249,"2024-09-20"
1250,"2024-09-27"
1251,"2024-10-04"
1252,"2024-10-11"
1253,"2024-10-18"
1254,"2024-10-25"
1255,"2024-11-01"
1256,"2024-11-08"
1257,"2024-11-15"
1258,"2024-11-22"
1259,"2024-11-29"
1260,"2024-12-06"
1261,"2024-12-13"
1262,"2024-12-20"
1263,"2024-12-27"
1264,"2025-01-03"
1265,"2025-01-10"
1266,"2025-01-17"
1267,"2025-01-24"
1268,"2025-01-31"
1269,"2025-02-07"
1270,"2025-02-14"
1271,"2025-02-21"
1272,"2025-02-28"
1273,"2025-03-07"
1274,"2025-03-14"
1275,"2025-03-21"
1276,"2025-03-28"
1277,"2025-04-04"
1278,"2025-04-11"
1279,"2025-04-18"
1280,"2025-04-25"
1281,"2025-05-02"
1282,"2025-05-09"
1283,"2025-05-16"
1284,"2025-05-23"
1285,"2025-05-30"
1286,"2025-06-06"
1287,"2025-06-13"
1288,"2025-06-20"
1289,"2025-06-27"
1290,"2025-07-04"
