"t_index","date"
291,"2005-12-02"
292,"2005-12-09"
293,"2005-12-16"
294,"2005-12-23"
295,"2005-12-30"
296,"2006-01-06"
297,"2006-01-13"
298,"2006-01-20"
299,"2006-01-27"
300,"2006-02-10"
301,"2006-02-17"
302,"2006-02-24"
303,"2006-03-03"
304,"2006-03-10"
305,"2006-03-17"
306,"2006-03-24"
307,"2006-03-31"
308,"2006-04-07"
309,"2006-04-14"
310,"2006-04-21"
311,"2006-04-28"
312,"2006-05-12"
313,"2006-05-19"
314,"2006-05-26"
315,"2006-06-02"
316,"2006-06-09"
317,"2006-06-16"
318,"2006-06-23"
319,"2006-06-30"
320,"2006-07-07"
321,"2006-07-14"
322,"2006-07-21"
323,"2006-07-28"
324,"2006-08-04"
325,"2006-08-11"
326,"2006-08-18"
327,"2006-08-25"
328,"2006-09-01"
329,"2006-09-08"
330,"2006-09-15"
331,"2006-09-22"
332,"2006-09-29"
333,"2006-10-13"
334,"2006-10-20"
335,"2006-10-27"
336,"2006-11-03"
337,"2006-11-10"
338,"2006-11-17"
339,"2006-11-24"
340,"2006-12-01"
341,"2006-12-08"
342,"2006-12-15"
343,"2006-12-22"
344,"2006-12-29"
345,"2007-01-05"
346,"2007-01-12"
347,"2007-01-19"
348,"2007-01-26"
349,"2007-02-02"
350,"2007-02-09"
351,"2007-02-16"
352,"2007-03-02"
353,"2007-03-09"
354,"2007-03-16"
355,"2007-03-23"
356,"2007-03-30"
357,"2007-04-06"
358,"2007-04-13"
359,"2007-04-20"
360,"2007-04-27"
361,"2007-05-04"
362,"2007-05-11"
363,"2007-05-18"
364,"2007-05-25"
365,"2007-06-01"
366,"2007-06-08"
367,"2007-06-15"
368,"2007-06-22"
369,"2007-06-29"
370,"2007-07-06"
371,"2007-07-13"
372,"2007-07-20"
373,"2007-07-27"
374,"2007-08-03"
375,"2007-08-10"
376,"2007-08-17"
377,"2007-08-24"
378,"2007-08-31"
379,"2007-09-07"
380,"2007-09-14"
381,"2007-09-21"
382,"2007-09-28"
383,"2007-10-12"
384,"2007-10-19"
385,"2007-10-26"
386,"2007-11-02"
387,"2007-11-09"
388,"2007-11-16"
389,"2007-11-23"
390,"2007-11-30"
391,"2007-12-07"
392,"2007-12-14"
393,"2007-12-21"
394,"2007-12-28"
395,"2008-01-04"
396,"2008-01-11"
397,"2008-01-18"
398,"2008-01-25"
399,"2008-02-01"
400,"2008-02-08"
401,"2008-02-15"
402,"2008-02-22"
403,"2008-02-29"
404,"2008-03-07"
405,"2008-03-14"
406,"2008-03-21"
407,"2008-03-28"
408,"2008-04-04"
409,"2008-04-11"
410,"2008-04-18"
411,"2008-04-25"
412,"2008-05-02"
413,"2008-05-09"
414,"2008-05-16"
415,"2008-05-23"
416,"2008-05-30"
417,"2008-06-06"
418,"2008-06-13"
419,"2008-06-20"
420,"2008-06-27"
421,"2008-07-04"
422,"2008-07-11"
423,"2008-07-18"
424,"2008-07-25"
425,"2008-08-01"
426,"2008-08-08"
427,"2008-08-15"
428,"2008-08-22"
429,"2008-08-29"
430,"2008-09-05"
431,"2008-09-12"
432,"2008-09-19"
433,"2008-09-26"
434,"2008-10-10"
435,"2008-10-17"
436,"2008-10-24"
437,"2008-10-31"
438,"2008-11-07"
439,"2008-11-14"
440,"2008-11-21"
441,"2008-11-28"
442,"2008-12-05"
443,"2008-12-12"
444,"2008-12-19"
445,"2008-12-26"
446,"2009-01-02"
447,"2009-01-09"
448,"2009-01-16"
449,"2009-01-23"
450,"2009-02-06"
451,"2009-02-13"
452,"2009-02-20"
453,"2009-02-27"
454,"2009-03-06"
455,"2009-03-13"
456,"2009-03-20"
457,"2009-03-27"
458,"2009-04-03"
459,"2009-04-10"
460,"2009-04-17"
461,"2009-04-24"
462,"2009-05-01"
463,"2009-05-08"
464,"2009-05-15"
465,"2009-05-22"
466,"2009-05-29"
467,"2009-06-05"
468,"2009-06-12"
469,"2009-06-19"
470,"2009-06-26"
471,"2009-07-03"
472,"2009-07-10"
473,"2009-07-17"
474,"2009-07-24"
475,"2009-07-31"
476,"2009-08-07"
477,"2009-08-14"
478,"2009-08-21"
479,"2009-08-28"
480,"2009-09-04"
481,"2009-09-11"
482,"2009-09-18"
483,"2009-09-25"
484,"2009-10-02"
485,"2009-10-09"
486,"2009-10-16"
487,"2009-10-23"
