date,delta_ret,delta_vol,loglik,success,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,rho_20,rho_21,rho_22,rho_23,rho_24,rho_25,rho_26,rho_27,rho_28,rho_29,rho_30
2001-02-16,0.0,1.0,6732.630137112633,True,1.4144301288451628,1.3972257598962018e-14,1.601730928705216e-14,1.641897830950735,0.3052654910911126,0.3913093876050066,1.140919122270938e-14,1.9999999999999805,6.157658429426106e-15,0.09767462582519112,1.3447722448910986,2.5481162263977002e-14,0.2590838834315578,8.209112234189045e-15,1.9999999999999787,1.1285200289581028e-14,1.9663720959797778e-14,2.150958195770603e-14,1.4205975064098315,1.0507384300724302e-14,1.4902297488857404e-14,8.115993301777919e-15,1.2323862994533789e-14,6.926364631339796e-15,1.8249441998501206,1.6183986833348185e-14,2.720248998071767e-14,0.10066743777157403,0.3907846244410211,6.3883371281378155e-15,0.3047042288227768
2001-03-16,0.9999999999988626,1.137431512811171e-12,6956.01908293048,True,8.524163654586747e-13,2.25465701110148e-13,3.006402832441265e-13,3.444348240747761e-13,2.264506498716421e-13,0.0,0.0,0.43571795302150873,0.0,4.1102692277259094e-15,4.1321608767293264e-13,7.700046993864451e-14,9.279203420050084e-14,0.5140950976608971,1.0478868763683782,2.8189479053509905e-13,1.1254747751128652e-13,4.642060248100141e-13,1.9999999999974263,0.0,1.481186513515365e-13,0.0,0.9224934517848299,0.0,2.3805154131912137e-10,8.43363302125866e-14,1.9999999997841893,2.0,1.9999999999947966,1.336561036077855e-13,1.3499358960064989
2001-04-13,0.0,1.0,7120.490700968923,True,0.3343789486198215,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.1351540172994263,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6443790985233943,0.0,1.2146101497925148,0.0
2001-05-11,4.632770481809976e-12,0.9999999999953673,7224.985812326174,True,0.04411790815423421,0.06452733571192679,8.200599156448262e-14,0.0,0.6221752442716062,1.841205604945174e-12,3.046307091419033e-13,1.6417936043967951,2.422747691042028e-13,8.875677463118414e-15,0.5312577927308572,2.833045795314973e-13,9.594331568699933e-15,2.0169593899326958e-13,1.999999999998755,3.8899186996809364e-13,2.6089900983009016e-13,8.801182688806017e-14,2.2951082530515226e-11,0.3393670478675826,1.0603808192438691e-13,1.4321959465441044e-13,0.22812706799225094,3.879192591959936e-13,1.999999999998739,4.665565508639306e-13,4.817278681005561e-13,0.01584361552727853,4.1444599625093694e-13,1.0265686147120248,5.490408066547247e-13
2001-06-08,0.5314731308453754,0.46852686915462466,7309.899755679623,True,2.1762102997237056e-14,1.4582693495346028e-13,5.049990202525025e-14,3.3153828630799946e-14,0.0,1.4104192059696718e-13,2.6022752192093372e-14,1.9999999999999762,4.6018688969112263e-14,3.2143759952309945e-14,1.112518393515158e-14,4.773021734293122e-14,2.909746178341775e-14,3.806052354825283e-14,1.6876465786912893,4.0179564984408614e-14,3.750011759288998e-14,3.6593517871133825e-14,1.9999999999999334,1.9299821028548225,2.523713381794317e-14,2.329719298281996e-14,2.2863105113152324e-14,5.732892692725051e-14,1.9999999999999682,4.477431246563934e-14,3.2891512212403025e-14,3.568358424646409e-12,1.4112661661470238e-14,0.5515374653478324,4.1450294142782966e-14
2001-07-06,0.9999999999999909,9.140933384537699e-15,7399.073556595535,True,3.4959237274629207e-15,5.413860881012635e-16,1.3202581481427747e-14,1.051787725391622e-14,1.5188384488916644,0.10521376908048247,0.0,1.5539646904836946,9.1437124901465e-15,3.0592348874883786e-15,2.5335124754582485e-15,4.028911027949132e-15,6.4587296490040166e-15,4.252293459020082e-15,0.0027969165854246853,6.492328249291844e-15,2.8537678945132675e-15,5.132748571773617e-15,1.9999999999999858,0.09539342288180203,6.299095052039118e-15,1.0991606297086256,3.766689662130398e-15,8.546072574731107e-15,1.9999999999999833,3.9675364880976055e-15,8.243888400722771e-16,0.2221969642862632,1.5971090018679577,2.274581440189321e-15,8.291675644963433e-17
2001-08-03,0.0,1.0,7456.444693653342,True,0.0,0.0,0.0,0.0,1.2510121659149902,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-31,0.0,1.0,7507.24526747496,True,0.0,0.0,0.0,0.0,0.0,0.0,1.2865129545358627,1.6755951593796061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.4766602320191327,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-28,7.839238744180962e-13,0.9999999999992161,7492.027029981274,True,2.2534985521847497e-13,1.6456376177514986e-14,3.466635207468342e-14,2.3399672376117267e-14,1.1188863193569272e-12,1.2407671393731086e-13,0.9145198527196826,2.0,4.65787963158875e-15,9.45701838243069e-13,0.0,2.4292248711746718e-14,0.0,4.705977901298461e-14,2.261791969303408e-15,9.237035572462174e-15,1.927973633019337e-14,2.991629763333911e-14,2.0,2.203805475698618e-14,7.002108673079408e-15,1.7624235288839203,1.083696955359702e-14,1.2076839588855653e-14,1.9999999999999716,5.614322352765091e-14,1.0884941674592464e-12,0.0,2.126618800538839e-14,3.5936232046333353e-14,7.565567535788317e-15
2001-11-02,2.2005327155682175e-13,0.99999999999978,7439.464911593766,True,0.5929944069943188,3.667854283669118e-14,7.975747836615539e-14,2.860929899692032e-14,1.9092303609243146,0.2108944998025542,0.5324254675828878,1.7076898813647328,4.3663458731162534e-15,5.493199714796846e-14,1.1605677414330333e-15,1.7438918110382528e-14,5.492333060622062e-15,5.4515363184450484e-14,6.02811751482922e-14,1.449528260070795e-14,2.888018621495357e-14,0.2878512710506005,0.6923398660824348,1.2358651965413549e-14,1.469286140830161,1.999999999999938,1.8353594085316455e-15,2.7554342934094985e-15,1.9999999999997862,9.884283152238853e-14,6.656964340734422e-15,0.3307906579782711,3.255260634917003e-14,5.898642841210962e-14,0.5790537703804294
