date,industry_0,industry_1,industry_2,industry_3,industry_4,industry_5,industry_6,industry_7,industry_8,industry_9,industry_10,industry_11,industry_12,industry_13,industry_14,industry_15,industry_16,industry_17,industry_18,industry_19,industry_20,industry_21,industry_22,industry_23,industry_24,industry_25,industry_26,industry_27,industry_28,industry_29,industry_30
2001-02-16,0.0306411346073996,0.02607194806929712,0.03651800793981731,0.02425144317853165,0.037826249807992395,0.024562683672688917,0.036393186958848286,0.04823665001584092,0.04036762953548691,0.022140339703132568,0.028938496012205734,0.04358978659964261,0.021036096147404388,0.03928611311311123,0.016100681932689345,0.027041336466070983,0.0452556287098284,0.026281395109734165,0.04356156520154993,0.036839355726582014,0.016444808612035282,0.03194511818959635,0.03326651890161547,0.035765138827354694,0.029313378900863697,0.03984142060517011,0.041720125078782186,0.028639057053113395,0.03322304792149074,0.011323415076544972,0.04357824232557861
2001-03-16,0.03417441931441589,0.026385931941480076,0.040293017318488396,0.032694445041480266,0.03953998947073079,0.03697120273620716,0.0251264038584601,0.04036559267089161,0.028816189285416766,0.030709722689104414,0.03130638086387301,0.03898810912418771,0.035314149211010684,0.03931692933631642,0.03207667659368762,0.031858556978899576,0.04237041026875239,0.03610446207573297,0.03859617489678343,0.025379511706894092,0.03564610706238895,0.03580548296782392,0.0433750976859797,0.02128991854134655,0.028526581397481238,0.03576879035979391,0.033429995089259,0.01820599338518072,0.00941895330742831,0.011192892633895767,0.04095191218660893
2001-04-13,0.037857264156386426,0.024256120165534443,0.037624807418822584,0.03266802663062575,0.03148415009593411,0.036386758971973514,0.04074551101826781,0.038615893840861205,0.03442434528440194,0.02873312752947496,0.03321015191395036,0.04533430522952697,0.0295490059108396,0.039900235702607305,0.024793618480988093,0.01889334390017383,0.03505493365241841,0.02332746780430319,0.04588878181570257,0.0420245494680821,0.011800147066374861,0.024890631166631125,0.04177956513083034,0.0293692150555122,0.02250202618848848,0.03764247337866685,0.0362157090629327,0.03495120468758036,0.020763169247131487,0.017339777173655927,0.04197368285132061
2001-05-11,0.0366174935404037,0.02749316295690641,0.03853964421758749,0.03279363058874719,0.03178210713455055,0.037815425719132635,0.03796484073773682,0.03651275516707251,0.03160991874623373,0.030004751019320326,0.03325422242459432,0.046515864531652865,0.031289344781221536,0.04013771007238261,0.026455969791851684,0.021288330967486713,0.03644871581082573,0.02368292165148481,0.04655619808959234,0.0356704011489211,0.01352014707424661,0.02540684078633773,0.04153588620840815,0.027457081588836967,0.025729243721980374,0.03861299000348662,0.034561241361099886,0.032707739752755365,0.018270265791792747,0.01771332977535633,0.04205182483799433
2001-06-08,0.035129382236670524,0.025315337536675322,0.04005593509706912,0.032345168918344255,0.03666959224961214,0.03701380725274547,0.03252407546602735,0.03928563373665695,0.030104394557728262,0.0311860924167629,0.03096142178692075,0.04362182296323612,0.034486678071167336,0.03961498612435303,0.03019348813822885,0.026250437155080665,0.039833611820357155,0.030285784126854374,0.04127083935893669,0.030345224854986416,0.025432863197272778,0.03161770841775134,0.04091010784711425,0.024877960576213044,0.026222016362166506,0.03746975054489667,0.03285482431410753,0.02438208060400013,0.012658255279327346,0.015641215298261433,0.04143950369047526
2001-07-06,0.03529968375764516,0.0222093705738028,0.04109868092717427,0.033451009173167394,0.040685618843863715,0.03915945530587442,0.028599902442716776,0.04269122331394915,0.029431978038836258,0.03260087800009051,0.02962249140668267,0.040939701272812684,0.035307695356702036,0.03924413787556044,0.03252695141003309,0.030557574062718966,0.04096133868177793,0.03692559200889261,0.035997269137191895,0.026289303288087616,0.035623785420408546,0.03532166706405478,0.0406977988172308,0.022240415922365107,0.02464754598831587,0.03691885339683166,0.029789785568760333,0.018292483601709136,0.007903946324282264,0.013637503070389283,0.04132635994807206
2001-08-03,0.028643757522309375,0.032783465641816674,0.043593220009322364,0.035062479591208916,0.033450984908999275,0.037610452398232186,0.028988210000238008,0.03166073345160759,0.034520158831252035,0.020889370958285258,0.031042436899014668,0.04506798404599359,0.04089552145911704,0.038985519396685875,0.03638668293362741,0.021158765067680142,0.03771970838157054,0.03091743889286857,0.046079356943653546,0.02926781276850451,0.022756886688392715,0.023093735037212678,0.040659643594033484,0.01390937553428758,0.037199824731791356,0.038859880611731165,0.04045035587652846,0.029109495395726468,0.007387161254870913,0.01997382061682228,0.04187576055661524
2001-08-31,0.028997726677052957,0.033605727326166734,0.04341322425083594,0.038967314062046794,0.03607877489977123,0.03817324553704053,0.02484489521938531,0.03146288301721747,0.03718067095147645,0.02246443443436248,0.03323073647183378,0.04357155194027336,0.04151829884886929,0.037978549369523974,0.029302276565265857,0.021703474105748785,0.03913240042809793,0.03282478528952251,0.047358922547668506,0.02556649535891181,0.025380184376398458,0.020324093876311383,0.04005062155047339,0.01016184938017223,0.036773365762296666,0.035030040401710316,0.037902540868757446,0.023686742705435394,0.01110513173114018,0.026575956136808535,0.045633085909424255
2001-09-28,0.030529125867269708,0.03363326616992064,0.044985455069359914,0.02885797401571994,0.0366106759241125,0.03820834969015629,0.0261243023993363,0.03297996542563506,0.037813728146602686,0.022953983514463348,0.03496375791886154,0.043890589129650104,0.038166249426539144,0.03865065534095788,0.028457291819256634,0.021008676999238994,0.04020332949611508,0.033160069794678664,0.04787735337793529,0.027378299241575314,0.023951367335566676,0.022276016159509204,0.03890719904885604,0.011286818688903985,0.0378905656352816,0.03520845286274039,0.039682146761883634,0.02342522042203283,0.011357680987888384,0.02578885244467863,0.04377258088527328
2001-11-02,0.03652112649153049,0.04141770845079715,0.038114465272588244,0.03232929530517728,0.04212106038276498,0.047083546613139966,0.034210012382875965,0.036648003251849956,0.02239729421530225,0.03046420283125413,0.028402474372164505,0.04378258037763158,0.042562328963454334,0.034307932469087955,0.026022590486539883,0.0347570056938789,0.03695042958218598,0.04394886636935124,0.0327267437380091,0.030416918953987158,0.035424890470729956,0.02536472367200756,0.037519795351237485,0.021500138038724637,0.028951323191837984,0.033656207667539004,0.027152445463142532,0.013957438739628958,0.006640697948708098,0.015896699325635706,0.03875105392723727
2001-11-30,0.037070293118490555,0.04679251129665534,0.037954202584366166,0.02857440416790654,0.0472446007328401,0.050706555121090825,0.0353680679453402,0.03682757983653996,0.017048547106097628,0.027359183482130064,0.029591281567841694,0.04635867498651339,0.04674366834339282,0.025662902724156157,0.025242276842101882,0.03527390251971297,0.02994825541369652,0.04805319709352273,0.03324131688396365,0.027526555881487554,0.041084266119105727,0.02498028531027022,0.04031356646196766,0.01751525504770694,0.03089084947599319,0.03105609482002833,0.024862884320869888,0.013898247854654489,0.011770782583612945,0.012521603836076594,0.038518186521867226
2001-12-28,0.03766936391697742,0.04449691503755821,0.03916841577037958,0.029247029165053333,0.04529946242507322,0.0485043169145882,0.03540787574412696,0.03695871556915401,0.01816097975601772,0.028238850137978288,0.030133936803958254,0.045928248185574595,0.04655396612494706,0.027468614915018973,0.026809897188287295,0.03500636264163455,0.031058608609573,0.0439384378595625,0.03416161797350759,0.028519048828947242,0.039464558112624636,0.026445841877410614,0.039433788227980084,0.018490317743362593,0.03102034132363785,0.032189511344646024,0.025244996389686414,0.014822999891955546,0.00994892156238111,0.012749252950997995,0.03745880700739917
2002-01-25,0.033668854234770396,0.033232087041814455,0.03212551718809159,0.0353017090598882,0.03856735603586866,0.0438790485643577,0.035332217270431135,0.040153307068168796,0.024926139203520718,0.028782588583893008,0.033905698928559276,0.039509169838542815,0.04031901783585878,0.03624203386697279,0.0351136320123546,0.033714489912188846,0.02488276894908828,0.038346959374926715,0.03554256039464032,0.024982705370220508,0.03917492268290992,0.027097996868405843,0.04180367967657314,0.032899357121225076,0.028343823925600725,0.03899115741404442,0.016449587266677928,0.0027017935649680577,0.014043785037424667,0.03691895584098334,0.033047079867029164
2002-03-08,0.04156050773786881,0.04429908568248023,0.030329444012612315,0.0305784313590696,0.049197247061972066,0.043399396932651414,0.04432761716198064,0.04223460213598416,0.022198575545752414,0.02486238133131089,0.031818667004939884,0.04755492888881986,0.04063446243702604,0.02450197037641735,0.03339108788872505,0.02728181476450209,0.028858817372070827,0.030023800747340325,0.04025429595322174,0.03631167300247209,0.037998954388745,0.03735186049536151,0.03790937301651515,0.02428018142393239,0.024402811881721293,0.021991359767830055,0.015267383099800946,0.01993682319823036,0.00876291830033498,0.015720778646244857,0.04275874838406554
2002-04-05,0.03760362900545981,0.0326045926833806,0.03366672810556155,0.03461205350541582,0.039909750447938534,0.04003470247254986,0.03868256050866794,0.0385275307913719,0.026105664866947775,0.03129082679166118,0.03498630054679954,0.039177679815012294,0.03869866407754162,0.03090133336385115,0.03586600806019082,0.03242532245932318,0.03345562553512377,0.031564150104496876,0.03840559771778539,0.034275117181724366,0.0346581478054193,0.03570433961979176,0.03782476099583217,0.023512649946977687,0.028361920729679732,0.025408015877186874,0.015734140275474755,0.02271204237758349,0.016694058864685175,0.017564274012598823,0.03903181145396625
